Title,Runtime,MPAA Rating,IMDb Score,Release Year
Woman Walks Ahead,101 min,R,6.6,(2017)
Chappaquiddick,106 min,PG-13,6.4,(2017)
Submergence,112 min,Not Rated,5.4,(2017)
Downrange,90 min,Not Rated,5.5,(2017)
Mom and Dad,86 min,R,5.5,(2017)
The Mountain Between Us,112 min,PG-13,6.4,(2017)
Mary Shelley,120 min,PG-13,6.4,(2017)
Professor Marston & the Wonder Women,108 min,R,7.0,(2017)
Beast,107 min,R,6.8,(III) (2017)
I Kill Giants,106 min,Not Rated,6.1,(2017)
The Current War: Director's Cut,102 min,PG-13,6.5,(2017)
The Children Act,105 min,R,6.7,(2017)
Brad's Status,102 min,R,6.5,(2017)
The Cured,95 min,R,5.6,(2017)
"I, Tonya",119 min,R,7.5,(2017)
Molly's Game,140 min,R,7.4,(2017)
The Death of Stalin,107 min,R,7.2,(2017)
The Ritual,94 min,TV-MA,6.3,(I) (2017)
The Upside,126 min,PG-13,7.0,(2017)
Stronger,119 min,R,6.9,(I) (2017)
Outside In,109 min,Not Rated,6.7,(2017)
My Days of Mercy,108 min,R,6.5,(2017)
Kodachrome,105 min,TV-MA,6.8,(2017)
Mark Felt: The Man Who Brought Down the White House,103 min,PG-13,6.4,(2017)
Journey's End,107 min,R,6.7,(I) (2017)
The Breadwinner,94 min,PG-13,7.7,(2017)
The Lodgers,92 min,R,5.1,(2017)
The Motive,112 min,TV-MA,6.5,(2017)
#Realityhigh,99 min,TV-14,5.1,(2017)
Papillon,133 min,R,7.2,(I) (2017)
On Chesil Beach,110 min,R,6.3,(2017)
Home Again,97 min,PG-13,5.8,(2017)
Borg vs. McEnroe,107 min,R,6.9,(2017)
Bodied,120 min,R,7.1,(2017)
American Assassin,111 min,R,6.2,(2017)
Loving Pablo,123 min,R,6.3,(2017)
Sweet Country,113 min,R,6.9,(2017)
It,135 min,R,7.3,(I) (2017)
Mother!,121 min,R,6.6,(2017)
"Three Billboards Outside Ebbing, Missouri",115 min,R,8.1,(2017)
Victoria & Abdul,111 min,PG-13,6.8,(2017)
The Leisure Seeker,112 min,R,6.7,(2017)
Hostiles,134 min,R,7.2,(2017)
Brawl in Cell Block 99,132 min,Not Rated,7.1,(2017)
Battle of the Sexes,121 min,PG-13,6.7,(2017)
Suburbicon,105 min,R,5.8,(2017)
Lady Bird,94 min,R,7.4,(2017)
Darkest Hour,125 min,PG-13,7.4,(2017)
Little Evil,94 min,TV-MA,5.7,(2017)
Our Souls at Night,103 min,TV-14,6.9,(2017)
Film Stars Don't Die in Liverpool,105 min,R,6.7,(2017)
Lean on Pete,121 min,R,7.2,(2017)
The Vault,91 min,Not Rated,4.8,(I) (2017)
Temple,78 min,TV-MA,3.7,(2017)
The Shape of Water,123 min,R,7.3,(2017)
First Reformed,113 min,R,7.1,(2017)
American Renegades,106 min,PG-13,5.5,(2017)
Downsizing,135 min,R,5.8,(2017)
Leatherface,90 min,R,5.0,(2017)
Death Note,101 min,TV-MA,4.5,(I) (2017)
Cult of Chucky,91 min,R,5.2,(2017)
American Made,115 min,R,7.1,(2017)
Victor Crowley,83 min,Not Rated,5.5,(2017)
Thelma,116 min,Not Rated,7.0,(2017)
Monster Family,93 min,PG,4.8,(2017)
The Glass Castle,127 min,PG-13,7.1,(2017)
Naked,96 min,TV-14,5.4,(I) (2017)
The Hitman's Bodyguard,118 min,R,6.9,(2017)
The Nut Job 2: Nutty by Nature,91 min,PG,5.5,(2017)
Logan Lucky,118 min,PG-13,7.0,(2017)
Starship Troopers: Traitor of Mars,88 min,R,5.5,(2017)
What Happened to Monday,123 min,TV-MA,6.8,(2017)
6 Days,94 min,R,6.2,(I) (2017)
Skybound,82 min,Not Rated,4.2,(2017)
Jungle,115 min,R,6.7,(I) (2017)
The Layover,88 min,R,4.8,(I) (2017)
A Taxi Driver,137 min,Not Rated,7.9,(2017)
The Dark Tower,95 min,PG-13,5.6,(2017)
The Emoji Movie,86 min,PG,3.4,(2017)
The Only Living Boy in New York,89 min,R,6.3,(2017)
Wolf Warrior 2,123 min,Not Rated,5.9,(2017)
Son of Bigfoot,92 min,PG,6.1,(2017)
Detroit,143 min,R,7.3,(2017)
Girls Trip,122 min,R,6.2,(2017)
Batman and Harley Quinn,74 min,PG-13,5.9,(2017)
First Kill,97 min,R,5.0,(2017)
Valerian and the City of a Thousand Planets,136 min,PG-13,6.4,(2017)
Radius,93 min,Not Rated,6.2,(2017)
Dunkirk,106 min,PG-13,7.8,(2017)
Tulip Fever,105 min,R,6.2,(2017)
War for the Planet of the Apes,140 min,PG-13,7.4,(2017)
Wish Upon,90 min,PG-13,5.0,(2017)
Pokémon the Movie: I Choose You!,98 min,PG,6.3,(2017)
Hostile,83 min,TV-MA,5.4,(I) (2017)
Revolt,87 min,R,5.3,(2017)
The Crucifixion,90 min,R,5.1,(2017)
Inconceivable,105 min,R,5.2,(2017)
Gerald's Game,103 min,TV-MA,6.5,(2017)
2:22,98 min,PG-13,5.7,(2017)
Amityville: The Awakening,87 min,PG-13,4.8,(2017)
Spider-Man: Homecoming,133 min,PG-13,7.4,(2017)
The House,88 min,R,5.6,(I) (2017)
Hampstead,102 min,PG-13,6.1,(2017)
Dear Dictator,90 min,Not Rated,5.0,(2017)
Tubelight,136 min,Not Rated,3.9,(2017)
12 Feet Deep,85 min,Not Rated,5.3,(2017)
The Bachelors,99 min,Unrated,6.8,(2017)
Annabelle: Creation,109 min,R,6.5,(2017)
Transformers: The Last Knight,154 min,PG-13,5.2,(2017)
Shot Caller,121 min,R,7.3,(2017)
The Book of Henry,105 min,PG-13,6.6,(2017)
You Get Me,89 min,TV-MA,4.7,(2017)
OtherLife,96 min,TV-MA,6.2,(2017)
Overdrive,93 min,PG-13,5.3,(2017)
Rough Night,101 min,R,5.2,(2017)
Despicable Me 3,89 min,PG,6.2,(2017)
All Eyez on Me,139 min,R,5.8,(2017)
Loving Vincent,94 min,PG-13,7.8,(2017)
Madame,91 min,TV-14,6.1,(I) (2017)
Cars 3,102 min,G,6.7,(2017)
Escape Room,81 min,R,4.2,(II) (2017)
Shimmer Lake,86 min,Not Rated,6.3,(2017)
Once Upon a Time in Venice,94 min,Not Rated,5.3,(2017)
Ali's Wedding,110 min,TV-MA,6.9,(2017)
My Cousin Rachel,106 min,PG-13,6.0,(2017)
The Recall,90 min,R,4.2,(2017)
Captain Underpants: The First Epic Movie,89 min,PG,6.2,(2017)
The Hunter's Prayer,91 min,R,5.5,(2017)
You Were Never Really Here,89 min,R,6.7,(2017)
Resident Evil: Vendetta,97 min,R,6.2,(2017)
War Machine,122 min,TV-MA,6.0,(2017)
In the Fade,106 min,R,7.1,(2017)
Black Butterfly,93 min,R,6.1,(II) (2017)
47 Meters Down,89 min,PG-13,5.6,(2017)
Good Time,102 min,R,7.3,(2017)
The Beguiled,93 min,R,6.3,(2017)
The Killing of a Sacred Deer,121 min,R,7.0,(2017)
The Mummy,110 min,PG-13,5.4,(2017)
The Florida Project,111 min,R,7.6,(2017)
Happy End,107 min,R,6.6,(2017)
The Meyerowitz Stories,112 min,TV-MA,6.9,(2017)
How to Talk to Girls at Parties,102 min,R,5.7,(2017)
Kidnap,95 min,R,5.9,(I) (2017)
Godard Mon Amour,107 min,R,6.6,(2017)
The Square,151 min,R,7.1,(2017)
The Rider,104 min,R,7.4,(2017)
Okja,120 min,TV-MA,7.3,(2017)
Time Trap,87 min,Not Rated,6.2,(2017)
A Prayer Before Dawn,116 min,R,6.8,(2017)
"Everything, Everything",96 min,PG-13,6.3,(2017)
Wonderstruck,116 min,PG,6.2,(2017)
Diary of a Wimpy Kid: The Long Haul,91 min,PG,4.3,(2017)
Kill Switch,91 min,R,4.7,(I) (2017)
Extortion,108 min,R,6.2,(2017)
Wonder Woman,141 min,PG-13,7.4,(2017)
Baywatch,116 min,R,5.5,(2017)
The Wall,88 min,R,6.2,(II) (2017)
Pirates of the Caribbean: Dead Men Tell No Tales,129 min,PG-13,6.5,(2017)
Snatched,90 min,R,4.6,(2017)
The Man with the Iron Heart,120 min,R,6.4,(2017)
Alien: Covenant,122 min,R,6.4,(2017)
Bad Genius,130 min,TV-MA,7.6,(2017)
Megan Leavey,116 min,PG-13,7.1,(2017)
It Comes at Night,91 min,R,6.2,(2017)
Lady-Like,82 min,R,5.2,(2017)
How to Be a Latin Lover,115 min,PG-13,6.0,(2017)
King Arthur: Legend of the Sword,126 min,PG-13,6.7,(2017)
The Pirates of Somalia,116 min,R,6.7,(2017)
Stephanie,86 min,R,5.8,(I) (2017)
The Circle,110 min,PG-13,5.3,(I) (2017)
Churchill,105 min,PG,6.0,(2017)
Take Me,83 min,TV-MA,6.1,(2017)
Unlocked,98 min,R,6.3,(I) (2017)
Devil's Gate,94 min,Not Rated,5.1,(2017)
Pilgrimage,96 min,Not Rated,5.9,(II) (2017)
The Neighbor,105 min,R,4.9,(II) (2017)
The Clapper,89 min,R,5.2,(I) (2017)
The Trip to Spain,108 min,Unrated,6.6,(2017)
The Endless,111 min,Not Rated,6.5,(I) (2017)
Sand Castle,113 min,TV-MA,6.3,(2017)
My Friend Dahmer,107 min,R,6.2,(2017)
Sweet Virginia,93 min,R,6.2,(2017)
Phoenix Forgotten,87 min,PG-13,5.3,(2017)
Flower,90 min,R,6.0,(I) (2017)
Unforgettable,100 min,R,5.1,(II) (2017)
Voice from the Stone,94 min,R,5.2,(2017)
Drone,91 min,TV-MA,5.4,(I) (2017)
Sandy Wexler,130 min,TV-14,5.2,(2017)
The Hatton Garden Job,93 min,R,5.6,(2017)
Guardians of the Galaxy Vol. 2,136 min,PG-13,7.6,(2017)
Gifted,101 min,PG-13,7.6,(2017)
The Case for Christ,112 min,PG,6.2,(2017)
Órbita 9,95 min,TV-14,5.9,(2017)
Aftermath,94 min,R,5.7,(IV) (2017)
The Fate of the Furious,136 min,PG-13,6.6,(2017)
Going in Style,96 min,PG-13,6.6,(2017)
Stratton,95 min,R,4.8,(2017)
Bomb City,98 min,TV-MA,6.8,(2017)
Take Off,139 min,Not Rated,8.1,(2017)
CHIPS,100 min,R,6.0,(2017)
Smurfs: The Lost Village,90 min,PG,6.0,(2017)
Power Rangers,124 min,PG-13,5.9,(2017)
Life,104 min,R,6.6,(I) (2017)
Goon: Last of the Enforcers,101 min,R,5.8,(2017)
Ghost in the Shell,107 min,PG-13,6.3,(2017)
Vengeance: A Love Story,99 min,TV-MA,5.2,(2017)
The Most Hated Woman in America,91 min,TV-MA,6.1,(2017)
Hot Summer Nights,107 min,R,6.3,(2017)
Mayhem,86 min,Unrated,6.4,(2017)
M.F.A.,92 min,Not Rated,5.9,(2017)
Atomic Blonde,115 min,R,6.7,(2017)
The Boss Baby,97 min,PG,6.3,(2017)
Tragedy Girls,98 min,R,6.0,(2017)
Gemini,93 min,R,5.4,(II) (2017)
Baby Driver,113 min,R,7.6,(2017)
Lucky,88 min,Not Rated,7.3,(I) (2017)
Small Town Crime,91 min,R,6.6,(2017)
The Ballad of Lefty Brown,111 min,R,6.3,(2017)
68 Kill,93 min,R,6.0,(2017)
The Show,104 min,R,5.6,(2017)
Small Crimes,95 min,TV-MA,5.8,(2017)
Win It All,88 min,TV-MA,6.2,(2017)
Song to Song,129 min,R,5.6,(I) (2017)
The Ottoman Lieutenant,106 min,R,6.4,(2017)
All Nighter,86 min,R,5.8,(2017)
The Zookeeper's Wife,127 min,PG-13,7.0,(2017)
Security,88 min,R,5.7,(I) (2017)
Prodigy,80 min,TV-MA,5.9,(2017)
Table 19,87 min,PG-13,5.8,(2017)
The Shack,132 min,PG-13,6.2,(I) (2017)
Beauty and the Beast,129 min,PG,7.1,(I) (2017)
First They Killed My Father,136 min,TV-MA,7.2,(2017)
Logan,137 min,R,8.1,(2017)
Fist Fight,91 min,R,5.6,(2017)
The Party,71 min,R,6.5,(I) (2017)
Spoor,128 min,Not Rated,6.3,(2017)
Viceroy's House,106 min,Not Rated,6.7,(2017)
The Young Karl Marx,118 min,Not Rated,6.6,(2017)
Final Portrait,90 min,R,6.3,(2017)
The Dinner,120 min,R,4.5,(I) (2017)
Fifty Shades Darker,118 min,R,4.6,(2017)
Bokeh,92 min,TV-MA,5.0,(I) (2017)
The Lego Batman Movie,104 min,PG,7.3,(2017)
Rings,102 min,PG-13,4.5,(2017)
The Space Between Us,120 min,PG-13,6.4,(I) (2017)
Bottom of the World,85 min,Not Rated,5.1,(2017)
John Wick: Chapter 2,122 min,R,7.4,(2017)
Super Dark Times,103 min,Not Rated,6.6,(2017)
The Incredible Jessica James,85 min,TV-MA,6.5,(2017)
Fun Mom Dinner,81 min,R,5.3,(2017)
iBoy,90 min,TV-MA,5.9,(2017)
Tom of Finland,117 min,Not Rated,6.8,(2017)
Kung Fu Yoga,107 min,Not Rated,5.1,(2017)
Newness,117 min,Unrated,6.3,(2017)
The Vanishing of Sidney Hall,119 min,R,6.8,(2017)
Rememory,111 min,PG-13,6.1,(2017)
The Other Side of Hope,100 min,Not Rated,7.2,(2017)
The Last Word,108 min,R,6.6,(2017)
Rebel in the Rye,106 min,PG-13,6.7,(2017)
Band Aid,91 min,R,6.6,(2017)
Get Out,104 min,R,7.7,(I) (2017)
Beach Rats,98 min,R,6.4,(2017)
God's Own Country,104 min,Not Rated,7.6,(2017)
Patti Cake$,109 min,R,6.8,(2017)
Brigsby Bear,97 min,PG-13,7.3,(2017)
Beatriz at Dinner,82 min,R,6.0,(2017)
Marjorie Prime,99 min,PG,6.3,(2017)
Call Me by Your Name,132 min,R,7.8,(2017)
T2 Trainspotting,117 min,R,7.2,(2017)
A Ghost Story,92 min,R,6.8,(2017)
To the Bone,107 min,TV-MA,6.8,(I) (2017)
Columbus,100 min,Not Rated,7.2,(I) (2017)
The Polka King,95 min,TV-14,6.0,(2017)
XX,80 min,R,4.6,(2017)
Bad Day for the Cut,99 min,Not Rated,6.5,(2017)
Wilson,94 min,R,5.8,(I) (2017)
Wind River,107 min,R,7.7,(2017)
Mudbound,134 min,R,7.4,(2017)
Before I Fall,98 min,PG-13,6.4,(2017)
Thoroughbreds,92 min,R,6.6,(2017)
Bushwick,94 min,TV-MA,5.2,(2017)
The Hero,96 min,R,6.5,(I) (2017)
Dave Made a Maze,80 min,Not Rated,6.3,(2017)
The Nile Hilton Incident,111 min,Unrated,6.7,(2017)
Walking Out,95 min,PG-13,5.8,(2017)
Ingrid Goes West,98 min,R,6.6,(2017)
The Big Sick,120 min,R,7.5,(2017)
The Discovery,102 min,TV-MA,6.2,(I) (2017)
Berlin Syndrome,116 min,R,6.3,(2017)
The Little Hours,90 min,R,5.8,(2017)
I Don't Feel at Home in This World Anymore,93 min,TV-MA,6.9,(2017)
A Dog's Purpose,100 min,PG,7.2,(2017)
The Climb,103 min,Not Rated,6.9,(I) (2017)
Sleepless,95 min,R,5.6,(III) (2017)
The Bye Bye Man,96 min,PG-13,4.3,(2017)
xXx: Return of Xander Cage,107 min,PG-13,5.2,(2017)
The Sense of an Ending,108 min,PG-13,6.4,(2017)
Kong: Skull Island,118 min,PG-13,6.6,(2017)
Gold,120 min,R,6.7,(I) (2016)
Dangal,161 min,Not Rated,8.3,(2016)
Monster Trucks,104 min,PG,5.6,(2016)
Why Him?,111 min,R,6.2,(2016)
Passengers,116 min,PG-13,7.0,(I) (2016)
Assassin's Creed,115 min,PG-13,5.6,(2016)
Resident Evil: The Final Chapter,107 min,R,5.5,(2016)
Live by Night,129 min,R,6.4,(2016)
Collateral Beauty,97 min,PG-13,6.7,(2016)
Rogue One: A Star Wars Story,133 min,PG-13,7.8,(2016)
A Cure for Wellness,146 min,R,6.4,(2016)
Spectral,107 min,PG-13,6.3,(2016)
Office Christmas Party,105 min,R,5.9,(2016)
The Great Wall,103 min,PG-13,5.9,(I) (2016)
Fences,139 min,PG-13,7.2,(2016)
Hidden Figures,127 min,PG,7.8,(2016)
Incarnate,87 min,PG-13,5.3,(2016)
Silence,161 min,R,7.1,(I) (2016)
The Founder,115 min,PG-13,7.2,(2016)
Underworld: Blood Wars,91 min,R,5.7,(2016)
Bad Santa 2,92 min,R,5.6,(2016)
Enter the Warriors Gate,108 min,PG-13,5.4,(2016)
Patriots Day,133 min,R,7.3,(2016)
Moana,107 min,PG,7.6,(I) (2016)
Allied,124 min,R,7.1,(2016)
Miss Sloane,132 min,R,7.5,(2016)
Come and Find Me,112 min,R,5.7,(2016)
True Memoirs of an International Assassin,98 min,TV-14,5.9,(2016)
The Comedian,120 min,R,5.8,(III) (2016)
Fallen,91 min,PG-13,5.2,(II) (2016)
Rules Don't Apply,127 min,PG-13,5.7,(2016)
Fantastic Beasts and Where to Find Them,132 min,PG-13,7.2,(2016)
Shut In,91 min,PG-13,4.8,(I) (2016)
A Street Cat Named Bob,103 min,Not Rated,7.3,(2016)
Panfilov's 28,121 min,PG-13,6.7,(2016)
Army of One,92 min,R,5.2,(2016)
Almost Christmas,111 min,PG-13,6.1,(2016)
Don't Hang Up,83 min,R,5.5,(2016)
Boo! A Madea Halloween,103 min,PG-13,4.6,(2016)
This Beautiful Fantastic,92 min,PG,6.9,(2016)
Keeping Up with the Joneses,105 min,PG-13,5.9,(2016)
Leap!,89 min,PG,6.7,(2016)
Ouija: Origin of Evil,99 min,PG-13,6.2,(2016)
Terrifier,85 min,Unrated,5.6,(2016)
The Lost City of Z,141 min,PG-13,6.6,(2016)
Billy Lynn's Long Halftime Walk,113 min,R,6.2,(2016)
Almost Friends,101 min,TV-MA,5.8,(2016)
Doctor Strange,115 min,PG-13,7.5,(2016)
Max Steel,92 min,PG-13,4.6,(2016)
Jack Reacher: Never Go Back,118 min,PG-13,6.1,(2016)
The Thinning,81 min,Not Rated,5.4,(2016)
Dark Crimes,92 min,R,4.6,(2016)
Mindhorn,89 min,TV-MA,6.3,(2016)
Trolls,92 min,PG,6.4,(2016)
Inferno,121 min,PG-13,6.2,(I) (2016)
20th Century Women,119 min,R,7.3,(2016)
It Stains the Sands Red,92 min,Not Rated,5.5,(2016)
Within,88 min,R,5.1,(2016)
Mine,106 min,Not Rated,5.8,(II) (2016)
The Monster,91 min,R,5.4,(2016)
Middle School: The Worst Years of My Life,92 min,PG,6.1,(2016)
Batman: Return of the Caped Crusaders,78 min,PG,6.7,(2016)
The Accountant,128 min,R,7.3,(2016)
Buster's Mal Heart,96 min,Unrated,6.1,(2016)
The Late Bloomer,90 min,R,5.2,(2016)
Operation Mekong,123 min,Not Rated,6.5,(2016)
Split,117 min,PG-13,7.3,(IX) (2016)
Miss Peregrine's Home for Peculiar Children,127 min,PG-13,6.7,(2016)
Laid in America,85 min,Not Rated,4.5,(2016)
The Osiris Child,95 min,Not Rated,5.5,(2016)
The Invisible Guest,106 min,TV-MA,8.0,(2016)
Storks,87 min,PG,6.8,(2016)
The Void,90 min,Not Rated,5.9,(I) (2016)
Better Watch Out,89 min,R,6.5,(II) (2016)
Don't Knock Twice,93 min,R,5.1,(2016)
Autumn Lights,98 min,Not Rated,5.7,(2016)
The Girl on the Train,112 min,R,6.5,(2016)
The Edge of Seventeen,104 min,R,7.3,(2016)
The Healer,113 min,Not Rated,6.3,(IV) (2016)
Hacker,95 min,R,6.1,(I) (2016)
Brain on Fire,88 min,PG-13,6.6,(2016)
All I See Is You,109 min,R,5.4,(2016)
Deepwater Horizon,107 min,PG-13,7.1,(2016)
A Family Man,108 min,R,6.5,(2016)
Birth of the Dragon,95 min,PG-13,5.6,(2016)
The Exception,107 min,R,6.8,(2016)
Blue Jay,80 min,Unrated,7.3,(I) (2016)
Paris Can Wait,92 min,PG,5.8,(2016)
Sing,108 min,PG,7.1,(2016)
The Promise,133 min,PG-13,6.0,(II) (2016)
Blair Witch,89 min,R,5.0,(2016)
Denial,109 min,PG-13,6.7,(II) (2016)
Their Finest,117 min,R,6.7,(2016)
The Assignment,95 min,R,4.7,(I) (2016)
Handsome Devil,95 min,TV-MA,7.0,(2016)
Lion,118 min,PG-13,8.0,(2016)
Below Her Mouth,94 min,Not Rated,5.5,(2016)
Lady Macbeth,89 min,R,6.8,(2016)
The Belko Experiment,89 min,R,6.1,(2016)
The Secret Scripture,108 min,PG-13,6.7,(2016)
Mascots,89 min,TV-MA,5.8,(2016)
The Limehouse Golem,109 min,Not Rated,6.3,(2016)
Queen of Katwe,124 min,PG,7.4,(2016)
Barry,104 min,TV-MA,6.0,(II) (2016)
The Autopsy of Jane Doe,86 min,R,6.8,(2016)
A Monster Calls,108 min,PG-13,7.4,(2016)
Colossal,109 min,R,6.2,(2016)
Carrie Pilby,98 min,Not Rated,6.7,(2016)
American Pastoral,108 min,R,6.1,(2016)
ARQ,88 min,TV-MA,6.3,(2016)
Headshot,118 min,Not Rated,6.3,(II) (2016)
LBJ,98 min,R,6.5,(2016)
I.T.,95 min,Not Rated,5.5,(2016)
A United Kingdom,111 min,PG-13,6.9,(2016)
When the Bough Breaks,107 min,PG-13,5.2,(2016)
Catfight,95 min,Not Rated,5.9,(I) (2016)
Trespass Against Us,99 min,R,5.8,(I) (2016)
The Disappointments Room,91 min,R,3.9,(2016)
A Death in the Gunj,110 min,Not Rated,7.4,(2016)
Baar Baar Dekho,141 min,Not Rated,5.4,(2016)
The Magnificent Seven,132 min,PG-13,6.8,(2016)
Free Fire,91 min,R,6.3,(2016)
Message from the King,102 min,R,6.4,(2016)
Jackie,100 min,R,6.7,(V) (2016)
The Bad Batch,118 min,R,5.2,(2016)
Bridget Jones's Baby,123 min,R,6.5,(2016)
Hacksaw Ridge,139 min,R,8.1,(2016)
Brimstone,148 min,R,7.0,(2016)
The Age of Shadows,140 min,TV-MA,7.1,(2016)
Norman,118 min,R,6.1,(2016)
Nocturnal Animals,116 min,R,7.5,(2016)
Sully,96 min,PG-13,7.4,(2016)
Moonlight,111 min,R,7.4,(I) (2016)
Maudie,115 min,PG-13,7.6,(2016)
Bleed for This,117 min,R,6.8,(2016)
Una,94 min,R,6.2,(2016)
Wakefield,106 min,R,6.3,(2016)
Chuck,98 min,R,6.5,(2016)
Arrival,116 min,PG-13,7.9,(II) (2016)
Morgan,92 min,R,5.8,(2016)
The Light Between Oceans,133 min,PG-13,7.2,(2016)
Hounds of Love,108 min,Not Rated,6.5,(2016)
The 9th Life of Louis Drax,108 min,R,6.3,(2016)
Prevenge,88 min,TV-MA,5.9,(2016)
La La Land,128 min,PG-13,8.0,(2016)
Siren,82 min,Not Rated,5.3,(I) (2016)
Greater,130 min,PG,7.3,(2016)
XOXO,92 min,TV-MA,5.3,(2016)
House on Willow Street,90 min,Unrated,4.6,(2016)
USS Indianapolis: Men of Courage,128 min,R,5.3,(2016)
Mechanic: Resurrection,98 min,R,5.7,(2016)
Imperium,109 min,R,6.5,(I) (2016)
The Neighbor,87 min,Not Rated,5.8,(II) (2016)
David Brent: Life on the Road,96 min,Not Rated,6.3,(2016)
Ben-Hur,123 min,PG-13,5.7,(2016)
Kubo and the Two Strings,101 min,PG,7.7,(2016)
Rustom,148 min,Not Rated,7.0,(2016)
Amateur Night,92 min,Not Rated,5.1,(2016)
Killing Ground,88 min,Not Rated,5.8,(2016)
War Dogs,114 min,R,7.1,(2016)
The Girl with All the Gifts,111 min,R,6.6,(2016)
Nine Lives,87 min,PG,5.3,(I) (2016)
Suicide Squad,123 min,PG-13,5.9,(2016)
Pete's Dragon,102 min,PG,6.7,(2016)
Viral,85 min,R,5.5,(I) (2016)
Bad Moms,100 min,R,6.2,(2016)
Battle for Incheon: Operation Chromite,111 min,Not Rated,6.2,(2016)
Shin Godzilla,120 min,Not Rated,6.8,(2016)
Realive,112 min,Not Rated,5.9,(2016)
Batman: The Killing Joke,76 min,R,6.4,(2016)
Beta Test,88 min,Not Rated,4.8,(I) (2016)
Snowden,134 min,R,7.3,(2016)
Kabali,153 min,Not Rated,6.1,(2016)
Star Trek Beyond,122 min,PG-13,7.0,(2016)
Skiptrace,107 min,PG-13,5.6,(2016)
Rupture,102 min,Not Rated,4.9,(I) (2016)
Good Kids,86 min,R,6.1,(I) (2016)
Kickboxer: Vengeance,90 min,Not Rated,4.8,(2016)
Nerve,96 min,PG-13,6.5,(I) (2016)
The Siege of Jadotville,108 min,TV-MA,7.2,(2016)
Ghostbusters,117 min,PG-13,6.8,(2016)
Kingsglaive: Final Fantasy XV,110 min,PG-13,6.7,(2016)
A Dark Song,100 min,Unrated,6.2,(2016)
The Infiltrator,127 min,R,7.0,(2016)
Sultan,170 min,Not Rated,7.0,(2016)
Jason Bourne,123 min,PG-13,6.6,(I) (2016)
Anthropoid,120 min,R,7.2,(2016)
Marauders,107 min,R,5.5,(2016)
Absolutely Fabulous: The Movie,91 min,R,5.4,(2016)
Satanic,85 min,R,3.7,(2016)
Mike and Dave Need Wedding Dates,98 min,R,6.0,(2016)
The Purge: Election Year,108 min,R,6.0,(2016)
The Legend of Tarzan,110 min,PG-13,6.2,(2016)
Center of My World,115 min,Unrated,7.2,(2016)
Free State of Jones,139 min,R,6.9,(2016)
The Duel,110 min,R,5.8,(I) (2016)
The Shallows,86 min,PG-13,6.3,(2016)
Independence Day: Resurgence,120 min,PG-13,5.2,(2016)
Ice Age: Collision Course,94 min,PG,5.6,(2016)
The Secret Life of Pets,87 min,PG,6.5,(2016)
Rock Dog,90 min,PG,5.9,(2016)
Central Intelligence,107 min,PG-13,6.3,(2016)
Collide,99 min,PG-13,5.6,(I) (2016)
Finding Dory,97 min,PG,7.3,(2016)
Lights Out,81 min,PG-13,6.3,(II) (2016)
Goldstone,110 min,R,6.5,(2016)
Urge,89 min,R,4.3,(2016)
Approaching the Unknown,90 min,R,4.9,(2016)
Hurricane Bianca,84 min,TV-MA,5.8,(2016)
Now You See Me 2,129 min,PG-13,6.4,(2016)
Beyond the Gates,84 min,Not Rated,5.1,(2016)
The Do-Over,108 min,TV-MA,5.7,(2016)
Warcraft,123 min,PG-13,6.7,(2016)
Popstar: Never Stop Never Stopping,87 min,R,6.7,(2016)
Me Before You,106 min,PG-13,7.4,(2016)
Teenage Mutant Ninja Turtles: Out of the Shadows,112 min,PG-13,5.9,(2016)
Blood Father,88 min,R,6.4,(2016)
The Salesman,124 min,PG-13,7.7,(2016)
The Neon Demon,117 min,R,6.1,(2016)
The Last Face,130 min,R,4.9,(2016)
Dog Eat Dog,93 min,Not Rated,4.8,(I) (2016)
Cell,98 min,R,4.4,(I) (2016)
It's Only the End of the World,97 min,PG,6.8,(2016)
Personal Shopper,105 min,R,6.1,(2016)
Hell or High Water,102 min,R,7.6,(II) (2016)
Paterson,118 min,R,7.3,(2016)
Hands of Stone,111 min,R,6.6,(2016)
Loving,123 min,PG-13,7.0,(2016)
Manhattan Night,113 min,R,6.2,(2016)
American Honey,163 min,R,7.0,(2016)
The Untamed,98 min,Not Rated,6.1,(2016)
The BFG,117 min,PG,6.3,(2016)
Toni Erdmann,162 min,R,7.3,(2016)
Endless Poetry,128 min,Unrated,7.5,(2016)
Like Crazy,116 min,Not Rated,7.2,(2016)
Train to Busan,118 min,Not Rated,7.6,(2016)
The Conjuring 2,134 min,R,7.3,(2016)
"I, Daniel Blake",100 min,R,7.8,(2016)
Kill Command,99 min,Not Rated,5.7,(2016)
The Darkness,92 min,PG-13,4.5,(I) (2016)
Buddha in a Traffic Jam,114 min,Not Rated,7.2,(2016)
Money Monster,98 min,R,6.5,(2016)
Clash,97 min,Not Rated,7.4,(2016)
Café Society,96 min,PG-13,6.6,(2016)
The Nice Guys,116 min,R,7.3,(2016)
Alice Through the Looking Glass,113 min,PG,6.2,(2016)
X-Men: Apocalypse,144 min,PG-13,6.9,(2016)
The Hollow Point,97 min,R,5.4,(2016)
The Angry Birds Movie,97 min,PG,6.3,(2016)
Our Kind of Traitor,108 min,R,6.2,(2016)
Term Life,93 min,R,5.6,(2016)
Neighbors 2: Sorority Rising,92 min,R,5.7,(2016)
Up for Love,98 min,TV-14,6.3,(2016)
