Title,Runtime,MPAA Rating,IMDb Score,Release Year
Lady Chatterley's Lover,126 min,R,6.6,(2022)
The Wonder,108 min,R,6.6,(I) (2022)
Tár,158 min,R,7.5,(2022)
Bardo: False Chronicle of a Handful of Truths,159 min,R,6.7,(2022)
Love in the Villa,114 min,TV-14,5.4,(2022)
White Noise,136 min,R,5.7,(I) (2022)
Barbarian,102 min,R,7.0,(2022)
Terrifier 2,138 min,Not Rated,6.2,(2022)
Samaritan,102 min,PG-13,5.7,(2022)
Me Time,101 min,R,5.1,(2022)
The Invitation,105 min,PG-13,5.3,(II) (2022)
After Ever Happy,95 min,R,4.5,(2022)
I Came By,110 min,TV-MA,6.1,(2022)
The Next 365 Days,112 min,TV-MA,2.7,(2022)
Look Both Ways,110 min,TV-14,6.3,(2022)
Day Shift,113 min,R,6.1,(2022)
Laal Singh Chaddha,159 min,PG-13,5.5,(2022)
Fall,107 min,PG-13,6.4,(I) (2022)
Beast,93 min,R,5.6,(I) (2022)
Luck,105 min,G,6.4,(I) (2022)
Secret Headquarters,104 min,PG,5.1,(2022)
Rise of the Teenage Mutant Ninja Turtles: The Movie,82 min,TV-Y7,6.0,(2022)
Carter,132 min,TV-MA,5.1,(2022)
Wedding Season,98 min,TV-PG,6.3,(2022)
Purple Hearts,122 min,TV-14,6.7,(2022)
Thirteen Lives,147 min,PG-13,7.8,(2022)
Honor Society,98 min,TV-MA,6.5,(2022)
Not Okay,100 min,R,6.1,(2022)
Rogue Agent,115 min,PG,6.4,(2022)
Orphan: First Kill,99 min,R,5.9,(2022)
DC League of Super-Pets,105 min,PG,7.2,(2022)
Skinamarink,100 min,Not Rated,5.1,(2022)
They/Them,104 min,TV-MA,3.8,(2022)
Prey,100 min,R,7.1,(I) (2022)
Bullet Train,127 min,R,7.3,(2022)
Nope,130 min,R,6.8,(2022)
Persuasion,108 min,PG,5.8,(I) (2022)
Paws of Fury: The Legend of Hank,98 min,PG,5.7,(2022)
The Gray Man,122 min,PG-13,6.5,(2022)
Mrs. Harris Goes to Paris,115 min,PG,7.1,(2022)
Vesper,114 min,Not Rated,5.9,(2022)
Where the Crawdads Sing,125 min,PG-13,7.2,(2022)
The Man from Toronto,110 min,PG-13,5.8,(2022)
Rise,113 min,PG,7.0,(II) (2022)
Thor: Love and Thunder,118 min,PG-13,6.3,(2022)
Love & Gelato,110 min,TV-14,5.1,(2022)
Beavis and Butt-Head Do the Universe,87 min,TV-14,7.0,(2022)
Spiderhead,106 min,R,5.4,(2022)
The Good Neighbor,106 min,R,6.0,(I) (2022)
Father of the Bride,117 min,PG-13,5.9,(2022)
The Sea Beast,115 min,PG,7.0,(2022)
Lightyear,105 min,PG,6.1,(2022)
Minions: The Rise of Gru,87 min,PG,6.5,(2022)
Vengeance,107 min,R,6.8,(II) (2022)
Terror on the Prairie,107 min,TV-MA,5.3,(2022)
Hustle,117 min,R,7.3,(2022)
Interceptor,99 min,TV-MA,4.6,(2022)
Fire Island,105 min,R,6.7,(I) (2022)
The Princess,94 min,R,5.6,(I) (2022)
Close,104 min,PG-13,7.8,(I) (2022)
Elvis,159 min,PG-13,7.3,(2022)
The Bob's Burgers Movie,102 min,PG-13,7.0,(2022)
Jurassic World: Dominion,147 min,PG-13,5.6,(2022)
Decision to Leave,139 min,14A,7.3,(2022)
Crimes of the Future,107 min,R,5.9,(2022)
Jerry and Marge Go Large,96 min,PG-13,6.9,(2022)
Triangle of Sadness,147 min,R,7.4,(2022)
Aftersun,102 min,R,7.7,(II) (2022)
Three Thousand Years of Longing,108 min,R,6.7,(2022)
Men,100 min,R,6.1,(2022)
The Stranger,117 min,TV-MA,6.6,(II) (2022)
Corsage,114 min,14A,6.6,(2022)
Chip 'n Dale: Rescue Rangers,97 min,PG,7.0,(2022)
The Valet,124 min,PG-13,6.7,(2022)
EO,88 min,14A,6.8,(2022)
Armageddon Time,114 min,R,6.5,(2022)
A Perfect Pairing,101 min,TV-14,6.1,(2022)
Moloch,99 min,16+,6.0,(2022)
Rocketry: The Nambi Effect,157 min,PG,8.8,(2022)
Top Gun: Maverick,130 min,PG-13,8.3,(2022)
Toscana,90 min,TV-MA,5.7,(II) (2022)
Senior Year,111 min,R,5.5,(2022)
Jungle Cry,117 min,G,7.4,(2022)
Last Seen Alive,95 min,R,5.6,(2022)
Firestarter,94 min,R,4.6,(2022)
Along for the Ride,106 min,TV-14,6.1,(2022)
Doctor Strange in the Multiverse of Madness,126 min,PG-13,6.9,(2022)
Crush,93 min,TV-MA,6.3,(I) (2022)
Memory,114 min,R,5.7,(2022)
Downton Abbey: A New Era,124 min,PG,7.4,(2022)
365 Days: This Day,111 min,TV-MA,2.6,(2022)
Choose or Die,84 min,MA-17,4.8,(2022)
Father Stu,124 min,R,6.5,(2022)
Metal Lords,97 min,R,6.7,(2022)
All the Old Knives,101 min,R,6.1,(2022)
Fantastic Beasts: The Secrets of Dumbledore,142 min,PG-13,6.2,(2022)
The Northman,137 min,R,7.1,(2022)
Moonshot,104 min,PG-13,5.6,(2022)
Sonic the Hedgehog 2,122 min,PG,6.5,(2022)
The Bubble,126 min,R,4.7,(2022)
Infinite Storm,97 min,R,5.2,(2022)
RRR,187 min,Not Rated,7.9,(2022)
Morbius,104 min,PG-13,5.2,(2022)
Windfall,92 min,R,5.7,(2022)
Umma,83 min,PG-13,4.7,(2022)
Deep Water,115 min,R,5.4,(I) (2022)
Cheaper by the Dozen,107 min,PG,4.5,(2022)
Rescued by Ruby,90 min,TV-G,7.1,(2022)
The Bad Guys,100 min,PG,6.8,(2022)
Ambulance,136 min,R,6.1,(2022)
Bodies Bodies Bodies,94 min,R,6.3,(2022)
X,105 min,R,6.6,(II) (2022)
Apollo 10½: A Space Age Childhood,97 min,PG-13,7.2,(2022)
The Unbearable Weight of Massive Talent,107 min,R,7.0,(2022)
To Leslie,119 min,R,7.1,(2022)
The Lost City,112 min,PG-13,6.1,(2022)
Everything Everywhere All at Once,139 min,R,7.9,(2022)
Deadstream,87 min,Not Rated,6.5,(2022)
The Contractor,103 min,R,5.8,(2022)
The Weekend Away,89 min,TV-14,5.6,(2022)
The Batman,176 min,PG-13,7.8,(2022)
Turning Red,100 min,PG,7.0,(2022)
The Adam Project,106 min,PG-13,6.7,(2022)
No Exit,95 min,R,6.1,(I) (2022)
Studio 666,106 min,R,5.7,(2022)
Texas Chainsaw Massacre,81 min,R,4.7,(2022)
Fistful of Vengeance,96 min,TV-MA,4.4,(2022)
The Outfit,105 min,R,7.1,(2022)
Dog,101 min,PG-13,6.5,(I) (2022)
The Quiet Girl,95 min,PG-13,7.7,(2022)
I Want You Back,116 min,R,6.5,(2022)
The In Between,115 min,PG-13,5.9,(2022)
Tall Girl 2,97 min,TV-PG,4.7,(2022)
Blacklight,104 min,PG-13,4.8,(2022)
Kimi,89 min,R,6.3,(2022)
Against the Ice,102 min,TV-MA,6.5,(2022)
Shut In,89 min,TV-MA,5.8,(I) (2022)
Death on the Nile,127 min,PG-13,6.3,(2022)
Marry Me,112 min,PG-13,6.1,(2022)
Uncharted,116 min,PG-13,6.3,(2022)
Through My Window,116 min,TV-MA,5.4,(2022)
Black Crab,114 min,TV-MA,5.7,(2022)
Moonfall,130 min,PG-13,5.1,(2022)
Home Team,95 min,PG,6.0,(2022)
The Requin,89 min,R,2.6,(2022)
The Ice Age Adventures of Buck Wild,82 min,PG,4.3,(2022)
Piggy,99 min,Not Rated,6.2,(2022)
Emily the Criminal,97 min,R,6.7,(2022)
Brian and Charles,90 min,PG,6.7,(2022)
Cha Cha Real Smooth,107 min,R,7.3,(2022)
"Good Luck to You, Leo Grande",97 min,R,7.2,(2022)
Resurrection,103 min,R,5.9,(2022)
Nanny,99 min,R,5.3,(2022)
Dual,94 min,R,5.8,(2022)
Living,102 min,PG-13,7.3,(2022)
Watcher,91 min,R,6.3,(I) (2022)
Speak No Evil,97 min,Not Rated,6.6,(2022)
Redeeming Love,134 min,PG-13,6.7,(2022)
Breaking,103 min,PG-13,6.2,(2022)
Master,98 min,R,5.2,(I) (2022)
Fresh,114 min,R,6.7,(2022)
Emergency,105 min,R,6.2,(2022)
The Royal Treatment,96 min,TV-PG,5.2,(2022)
The House,97 min,TV-MA,6.8,(III) (2022)
Gold,97 min,R,5.4,(I) (2022)
Hotel Transylvania 4: Transformania,87 min,PG,6.0,(2022)
Brazen,94 min,TV-14,4.1,(2022)
Scream,114 min,R,6.3,(I) (2022)
The 355,122 min,PG-13,5.5,(2022)
The Cellar,94 min,Not Rated,5.3,(2022)
'83,162 min,PG,7.5,(2021)
Mother/Android,110 min,R,4.9,(2021)
The Matrix Resurrections,148 min,R,5.7,(2021)
Rumble,95 min,PG,5.9,(2021)
Spider-Man: No Way Home,148 min,PG-13,8.2,(2021)
The Lady of Heaven,141 min,R,5.7,(2021)
American Sicario,101 min,R,4.4,(2021)
The King's Man,131 min,R,6.3,(2021)
Don't Look Up,138 min,R,7.2,(2021)
The Hating Game,102 min,R,6.2,(2021)
Back to the Outback,95 min,PG,6.5,(2021)
Last Looks,110 min,R,5.8,(I) (2021)
Being the Ricardos,131 min,R,6.5,(2021)
Single All the Way,99 min,TV-PG,6.1,(2021)
Marakkar: Lion of the Arabian Sea,181 min,14A,5.9,(2021)
Nightmare Alley,150 min,R,7.0,(2021)
West Side Story,156 min,PG-13,7.2,(2021)
A Castle for Christmas,98 min,TV-G,5.5,(2021)
The Unforgivable,112 min,R,7.1,(2021)
8-Bit Christmas,97 min,PG,6.7,(2021)
Licorice Pizza,133 min,R,7.2,(2021)
Resident Evil: Welcome to Raccoon City,107 min,R,5.2,(2021)
A House on the Bayou,88 min,13+,5.5,(2021)
A Boy Called Christmas,106 min,PG,6.7,(2021)
The Princess Switch 3,106 min,TV-PG,5.5,(2021)
Sing 2,110 min,PG,7.4,(2021)
Swan Song,116 min,R,6.8,(I) (2021)
"tick, tick... BOOM!",120 min,PG-13,7.5,(2021)
Clifford the Big Red Dog,96 min,PG,5.9,(2021)
House of Gucci,158 min,R,6.6,(2021)
Father Christmas Is Back,105 min,PG-13,4.5,(2021)
Operation Mincemeat,128 min,PG-13,6.6,(2021)
Finch,115 min,PG-13,6.9,(2021)
Love Hard,104 min,TV-MA,6.3,(2021)
Dangerous,99 min,R,5.1,(III) (2021)
Red Notice,118 min,PG-13,6.3,(2021)
Encanto,102 min,PG,7.2,(2021)
